date,symbol,revenue,eps,time,revenueestimated
2024-03-01,RPID,,,bmo,6150000
2024-03-01,TAPM,,,--,6500000
2024-03-01,DXR,,,bmo,
2024-03-01,MAU.PA,,,bmo,
2024-03-01,CONX,,,bmo,
2024-03-01,COY.AX,,,bmo,
2024-03-01,HIBB,,,bmo,477260000
2024-03-01,KRDMD.IS,,,bmo,463195000
2024-03-01,FUBO,,,bmo,397660000
2024-03-01,GLOG-PA,,,bmo,
2024-03-01,TUSK,,,bmo,64450000
2024-03-01,XXMMD,,,bmo,
2024-03-01,CBWBF,,,bmo,
2024-03-01,CLXT,,,bmo,
2024-03-01,KNIN.SW,,,bmo,6515970000
2024-03-01,PSO,,,bmo,
2024-03-01,GPR.AX,,,bmo,
2024-03-01,SCHO.CO,,,bmo,
2024-03-01,STXS,,,bmo,7700000
2024-03-01,HEIJM.AS,,,bmo,
2024-03-01,AMNF,,,--,
2024-03-01,APMCF,,,bmo,
2024-03-01,SNCAF,,,bmo,1526550000
2024-03-01,BDSX,,,bmo,15610000
2024-03-01,ESN.TO,,,bmo,
2024-03-01,RDNT,,,bmo,412110000
2024-03-01,AMRX,,,bmo,634230000
2024-03-01,CCNCF,,,bmo,
2024-03-01,KALA,,,bmo,
2024-03-01,MAS.V,,,bmo,
2024-03-01,ONCY,,,bmo,
2024-03-01,KROS,,,bmo,
2024-03-01,BRAXF,,,bmo,
2024-03-01,CAP.SN,,,bmo,854512000000
2024-03-01,PGRU,,,bmo,31730000
2024-03-01,3060.SR,,,bmo,197500000
2024-03-01,LTTSF,,,bmo,
2024-03-01,TOTA.CO,,,bmo,
2024-03-01,GJTL.JK,,,bmo,15202000000
2024-03-01,AY,,,bmo,245840000
2024-03-01,EUR.AX,,,bmo,70000
2024-03-01,ATRL.TO,,,bmo,2073760000
2024-03-01,AMXEF,,,bmo,
2024-03-01,MYI.L,,,bmo,
2024-03-01,ESVIF,,,bmo,
2024-03-01,AVAL,,,bmo,
2024-03-01,GWAYF,,,bmo,
2024-03-01,HNRC,,,bmo,
2024-03-01,PUMU.HE,,,bmo,
2024-03-01,SMSM.JK,,,bmo,
2024-03-01,EEYUF,,,bmo,
2024-03-01,XXMMF,,,bmo,
2024-03-01,SNC.TO,,,bmo,
2024-03-01,BRLXF,,,bmo,
2024-03-01,DLAKY,,,--,
2024-03-01,FG.V,,,bmo,
2024-03-01,MOGU,,,bmo,48990000
2024-03-01,OGGNF,,,bmo,
2024-03-01,JSMR.JK,,,bmo,5728510000
2024-03-01,MSDL,,,bmo,
2024-03-01,BLX.TO,,,bmo,258800000
2024-03-01,NHHH.V,,,bmo,
2024-03-01,KELTF,,,bmo,
2024-03-01,ACT.DE,,,bmo,125100000
2024-03-01,GRNWF,,,bmo,
2024-03-01,1650.HK,,,bmo,
2024-03-01,ELHA.AT,,,bmo,3194300000
2024-03-01,FSVEF,,,bmo,
2024-03-01,OFS,,,bmo,14200000
2024-03-01,8109.TWO,,,bmo,
2024-03-01,DNA.AX,,,bmo,
2024-03-01,INTT,,,bmo,29150000
2024-03-01,VLOWY,,,--,
2024-03-01,MXO.AX,,,bmo,
2024-03-01,BTDR,,,bmo,
2024-03-01,THYAO.IS,,,bmo,87796300000
2024-03-01,VK.PA,,,bmo,1221760000
2024-03-02,SDE.TO,,,bmo,
2024-03-02,4994.TW,,,bmo,
2024-03-02,HNKPF,,,bmo,
2024-03-02,4142.TW,,,bmo,555000000
2024-03-02,CPMV,,,--,
2024-03-03,ARI.JO,,,bmo,13670500000
2024-03-03,88E.AX,,,bmo,
2024-03-03,3928.HK,,,bmo,
2024-03-03,002812.SZ,,,bmo,3819530000
2024-03-03,9992.HK,,,bmo,
2024-03-03,ARYN.SW,,,bmo,
