Date,Close/Last,Volume,Open,High,Low
04/22/2024,17350.00,633920,17228.25,17448.00,17148.50
04/19/2024,17180.75,1012695,17530.75,17553.25,17113.25
04/18/2024,17547.25,749861,17669.75,17770.75,17506.25
04/17/2024,17658.50,835862,17897.00,17968.50,17615.25
04/16/2024,17881.25,759303,17879.00,17988.00,17792.00
04/15/2024,17876.25,788744,18151.00,18350.75,17841.50
04/12/2024,18179.25,770757,18486.25,18507.75,18120.25
04/11/2024,18485.00,718582,18184.00,18518.75,18088.00
04/10/2024,18196.75,863059,18381.00,18474.25,18053.50
04/09/2024,18359.75,691192,18314.75,18407.25,18160.75
04/08/2024,18295.00,521193,18348.25,18376.00,18237.50
04/05/2024,18300.75,796179,18086.25,18408.25,18051.50
04/04/2024,18076.75,762137,18388.50,18568.00,18055.25
04/03/2024,18373.25,587722,18345.00,18451.75,18232.50
04/02/2024,18330.00,606900,18497.25,18511.00,18201.50
04/01/2024,18497.25,562901,18503.00,18612.00,18414.50
03/28/2024,18475.00,505559,18505.00,18538.75,18447.50
03/27/2024,18503.75,594550,18477.50,18571.75,18378.50
03/26/2024,18449.00,511102,18531.25,18619.00,18439.25
03/25/2024,18513.50,452098,18567.00,18601.25,18414.75
03/22/2024,18574.75,505440,18580.50,18626.00,18492.00
03/21/2024,18561.75,599748,18539.75,18709.00,18526.75
03/20/2024,18479.75,608977,18274.00,18545.00,18227.50
03/19/2024,18270.00,654414,18222.00,18289.25,18053.25
03/18/2024,18231.50,644800,18073.50,18381.00,18062.25
03/15/2024,18058.75,678085,18251.00,18322.75,18006.25
03/14/2024,18271.75,814184,18342.00,18428.25,18161.25
03/13/2024,18078.50,170668,18218.00,18256.50,18033.25
03/12/2024,18227.75,272227,18010.50,18241.75,17930.00
03/11/2024,17971.00,465594,18056.00,18068.25,17890.50
03/08/2024,18046.75,1035986,18279.00,18436.50,18012.50
03/07/2024,18316.25,751830,18041.00,18360.00,17915.75
03/06/2024,18044.25,800576,17981.00,18174.25,17942.50
03/05/2024,17930.25,788530,18246.00,18252.00,17832.50
03/04/2024,18262.00,563068,18336.00,18377.75,18234.25
03/01/2024,18338.25,628797,18075.00,18372.75,18029.50
02/29/2024,18082.75,672186,17870.00,18109.50,17826.00
02/28/2024,17915.25,547435,18017.50,18019.75,17846.25
02/27/2024,18021.00,563763,17951.00,18040.25,17908.75
02/26/2024,17977.00,520783,17961.50,18059.50,17922.00
02/23/2024,17991.00,651718,18023.25,18144.75,17946.00
02/22/2024,18047.50,746594,17702.50,18087.00,17676.00
02/21/2024,17536.75,718203,17573.00,17723.00,17372.75
02/20/2024,17607.25,880047,17787.75,17807.50,17452.50
02/16/2024,17744.00,734139,17952.00,18026.00,17715.00
02/15/2024,17912.75,654026,17870.00,17968.25,17780.50
02/14/2024,17881.00,683386,17703.00,17887.00,17669.25
02/13/2024,17676.75,842633,17928.50,17963.25,17542.00
02/12/2024,17965.00,533796,18040.00,18121.50,17911.25
02/09/2024,18039.25,491033,17854.25,18071.00,17852.25
02/08/2024,17868.25,465128,17856.25,17896.50,17792.25
02/07/2024,17841.75,603724,17645.75,17875.50,17629.75
02/06/2024,17660.00,617170,17698.50,17769.00,17560.75
02/05/2024,17700.00,615101,17696.00,17745.50,17554.25
02/02/2024,17732.75,750536,17588.00,17775.50,17465.50
02/01/2024,17436.75,697994,17273.25,17646.75,17262.75
01/31/2024,17242.25,804050,17415.50,17484.00,17221.50
01/30/2024,17588.50,547660,17711.75,17735.75,17467.00
01/29/2024,17706.00,560930,17502.00,17716.25,17457.50
01/26/2024,17527.00,626231,17571.25,17632.00,17466.00
01/25/2024,17634.50,702684,17614.75,17752.00,17542.00
01/24/2024,17621.00,711690,17554.00,17793.50,17552.25
01/23/2024,17531.25,501030,17461.00,17558.25,17409.50
01/22/2024,17458.50,626094,17466.00,17585.00,17434.00
01/19/2024,17438.50,728404,17116.00,17448.00,17107.25
01/18/2024,17110.00,822308,16854.50,17125.75,16834.25
01/17/2024,16869.75,705516,16978.00,16982.00,16689.25
01/16/2024,16966.50,806735,16961.00,17033.75,16811.75
01/12/2024,16969.25,587807,16957.75,17042.50,16866.50
01/11/2024,16966.25,748822,16955.00,17057.00,16753.00
01/10/2024,16945.25,544174,16829.50,16983.00,16801.50
01/09/2024,16830.25,598121,16788.00,16868.50,16657.75
01/08/2024,16803.75,537902,16470.00,16811.25,16378.25
01/05/2024,16460.25,620914,16455.00,16577.25,16334.25
01/04/2024,16445.00,551435,16545.25,16587.25,16436.00
