Date,	Open,	High,	Low,	Close*,	Adj Close**,	Volume
"Mar 01 2024",	415.50,	448.00,	409.25, 442.00,	442.00,	1571872
"Feb 01 2024",	448.00,	448.75,	394.50, 415.75,	415.75,	3605723
"Jan 01 2024",	470.50,	470.75,	436.50, 448.25,	448.25,	3686446
"Dec 01 2023",	460.25,	484.00,	455.00, 471.25,	471.25,	1233524
"Nov 01 2023",	478.75,	481.25,	447.00, 461.75,	461.75,	3803013
"Sep 01 2023",	461.00,	490.00,	455.75, 476.75,	476.75,	1549029
"Aug 01 2023",	504.00,	512.25,	459.00, 461.00,	461.00,	2195220
"Jul 01 2023",	558.50,	614.75,	495.25, 504.00,	504.00,	1399725
"Jun 01 2023",	594.00,	672.50,	552.00, 554.50,	554.50,	3164635
"May 01 2023",	632.50,	658.50,	547.00, 594.00,	594.00,	2219922
"Apr 01 2023",	659.50,	682.50,	621.75, 636.00,	636.00,	2254159
"Mar 01 2023",	630.00,	664.50,	618.25, 660.50,	660.50,	2171060
"Feb 01 2023",	679.25,	688.25,	629.25, 629.50,	629.50,	2794595
"Dec 01 2022",	661.75,	685.00,	623.00, 678.50,	678.50,	1185196
"Nov 01 2022",	689.00,	698.50,	651.25, 662.00,	662.00,	3161670
"Oct 01 2022",	680.00,	706.50,	671.50, 691.50,	691.50,	2812909
"Sep 01 2022",	671.00,	725.00,	655.00, 677.50,	677.50,	1801770
"Aug 01 2022",	619.75,	684.25,	583.00, 673.75,	673.75,	1963935
"Jul 01 2022",	748.00,	800.00,	561.50, 616.25,	616.25,	1072226
"Jun 01 2022",	753.75,	800.00,	720.50, 743.75,	743.75,	3065989
"Apr 01 2022",	748.50,	827.00,	730.25, 818.25,	818.25,	2398102
"Mar 01 2022",	699.75,	800.00,	699.75, 748.75,	748.75,	1531221
"Feb 01 2022",	626.00,	718.75,	610.25, 697.50,	697.50,	3560196
"Jan 01 2022",	599.00,	642.50,	584.75, 626.00,	626.00,	3455998
"Dec 01 2021",	568.00,	617.75,	567.00, 593.25,	593.25,	1569449
"Nov 01 2021",	568.00,	589.00,	547.75, 567.00,	567.00,	3647862
"Oct 01 2021",	536.75,	569.25,	506.75, 568.25,	568.25,	2882131
"Sep 01 2021",	534.00,	548.50,	487.75, 536.75,	536.75,	1651092
"Jul 01 2021",	719.75,	750.50,	536.75, 547.00,	547.00,	980043
"Jun 01 2021",	666.00,	743.25,	629.50, 720.00,	720.00,	3529556
"May 01 2021",	740.00,	775.00,	602.75, 656.75,	656.75,	1850037
"Apr 01 2021",	575.00,	746.25,	549.75, 740.00,	740.00,	3680460
"Mar 01 2021",	560.50,	571.25,	532.75, 564.25,	564.25,	1883413
"Feb 01 2021",	549.00,	574.25,	524.75, 555.50,	555.50,	3555918
"Jan 01 2021",	487.25,	553.75,	479.50, 547.00,	547.00,	4285317
"Dec 01 2020",	420.00,	485.75,	409.00, 484.00,	484.00,	1761133
"Oct 01 2020",	379.00,	422.25,	377.25, 398.50,	398.50,	4514196
"Sep 01 2020",	347.75,	382.75,	343.25, 379.00,	379.00,	2278436
"Aug 01 2020",	315.00,	353.00,	307.25, 348.50,	348.50,	2753842
"Jul 01 2020",	338.50,	356.50,	314.50, 316.00,	316.00,	1558059
"Jun 01 2020",	325.50,	342.00,	313.50, 338.50,	338.50,	4075205
"May 01 2020",	311.00,	330.75,	305.50, 325.75,	325.75,	1474531
"Apr 01 2020",	341.25,	343.25,	300.25, 311.50,	311.50,	2913618
"Feb 01 2020",	380.50,	385.00,	361.75, 366.50,	366.50,	3507095
"Jan 01 2020",	387.75,	394.00,	375.25, 381.25,	381.25,	3597354
"Nov 01 2019",	389.25,	391.75,	362.25, 371.25,	371.25,	3794054
"Oct 01 2019",	386.75,	402.50,	378.25, 390.00,	390.00,	3653164
"Aug 01 2019",	401.75,	417.00,	355.25, 358.00,	358.00,	3078277
"Jul 01 2019",	424.25,	460.00,	400.00, 400.25,	400.25,	1855102
"Jun 01 2019",	426.25,	464.25,	407.00, 420.25,	420.25,	4829399
"May 01 2019",	353.50,	438.00,	335.50, 427.00,	427.00,	4624157
"Apr 01 2019",	356.50,	366.25,	342.25, 353.25,	353.25,	3984714
